,Date,Hour,Num of Orders
0,1/1/19,6,6
1,1/1/19,7,19
2,1/1/19,8,47
3,1/1/19,9,82
4,1/1/19,10,121
5,1/1/19,11,90
6,1/1/19,12,66
7,1/1/19,13,56
8,1/1/19,14,51
9,1/1/19,15,62
10,1/1/19,16,85
11,1/1/19,17,96
12,1/1/19,18,58
13,1/1/19,19,38
14,1/1/19,20,42
15,1/1/19,21,19
16,2/1/19,6,12
17,2/1/19,7,18
18,2/1/19,8,31
19,2/1/19,9,54
20,2/1/19,10,47
21,2/1/19,11,44
22,2/1/19,12,48
23,2/1/19,13,49
24,2/1/19,14,44
25,2/1/19,15,47
26,2/1/19,16,63
27,2/1/19,17,79
28,2/1/19,18,65
29,2/1/19,19,57
30,2/1/19,20,43
31,2/1/19,21,27
32,3/1/19,6,15
33,3/1/19,7,10
34,3/1/19,8,34
35,3/1/19,9,47
36,3/1/19,10,58
37,3/1/19,11,51
38,3/1/19,12,58
39,3/1/19,13,45
40,3/1/19,14,49
41,3/1/19,15,79
42,3/1/19,16,103
43,3/1/19,17,81
44,3/1/19,18,69
45,3/1/19,19,62
46,3/1/19,20,58
47,3/1/19,21,29
48,4/1/19,6,13
49,4/1/19,7,23
50,4/1/19,8,50
51,4/1/19,9,104
52,4/1/19,10,152
53,4/1/19,11,118
54,4/1/19,12,78
55,4/1/19,13,68
56,4/1/19,14,49
57,4/1/19,15,60
58,4/1/19,16,102
59,4/1/19,17,88
60,4/1/19,18,74
61,4/1/19,19,48
62,4/1/19,20,37
63,4/1/19,21,25
64,5/1/19,6,10
65,5/1/19,7,15
66,5/1/19,8,40
67,5/1/19,9,85
68,5/1/19,10,118
69,5/1/19,11,109
70,5/1/19,12,59
71,5/1/19,13,56
72,5/1/19,14,52
73,5/1/19,15,68
74,5/1/19,16,96
75,5/1/19,17,93
76,5/1/19,18,67
77,5/1/19,19,38
78,5/1/19,20,43
79,5/1/19,21,23
80,9/12/18,6,15
81,9/12/18,7,28
82,9/12/18,8,27
83,9/12/18,9,31
84,9/12/18,10,60
85,9/12/18,11,45
86,9/12/18,12,30
87,9/12/18,13,30
88,9/12/18,14,35
89,9/12/18,15,63
90,9/12/18,16,79
91,9/12/18,17,84
92,9/12/18,18,73
93,9/12/18,19,64
94,9/12/18,20,40
95,9/12/18,21,8
96,10/12/18,6,13
97,10/12/18,7,28
98,10/12/18,8,39
99,10/12/18,9,34
100,10/12/18,10,43
101,10/12/18,11,48
102,10/12/18,12,41
103,10/12/18,13,30
104,10/12/18,14,44
105,10/12/18,15,58
106,10/12/18,16,68
107,10/12/18,17,89
108,10/12/18,18,70
109,10/12/18,19,66
110,10/12/18,20,36
111,10/12/18,21,4
112,11/12/18,6,16
113,11/12/18,7,19
114,11/12/18,8,42
115,11/12/18,9,41
116,11/12/18,10,40
117,11/12/18,11,41
118,11/12/18,12,36
119,11/12/18,13,36
120,11/12/18,14,45
121,11/12/18,15,58
122,11/12/18,16,71
123,11/12/18,17,70
124,11/12/18,18,86
125,11/12/18,19,60
126,11/12/18,20,39
127,11/12/18,21,16
128,12/12/18,6,18
129,12/12/18,7,24
130,12/12/18,8,27
131,12/12/18,9,37
132,12/12/18,10,53
133,12/12/18,11,45
134,12/12/18,12,51
135,12/12/18,13,38
136,12/12/18,14,44
137,12/12/18,15,53
138,12/12/18,16,51
139,12/12/18,17,71
140,12/12/18,18,72
141,12/12/18,19,56
142,12/12/18,20,58
143,12/12/18,21,13
144,13/12/18,6,18
145,13/12/18,7,19
146,13/12/18,8,45
147,13/12/18,9,50
148,13/12/18,10,40
149,13/12/18,11,63
150,13/12/18,12,50
151,13/12/18,13,33
152,13/12/18,14,26
153,13/12/18,15,39
154,13/12/18,16,72
155,13/12/18,17,78
156,13/12/18,18,67
157,13/12/18,19,70
158,13/12/18,20,51
159,13/12/18,21,6
160,14/12/18,6,7
161,14/12/18,7,31
162,14/12/18,8,75
163,14/12/18,9,113
164,14/12/18,10,130
165,14/12/18,11,111
166,14/12/18,12,76
167,14/12/18,13,61
168,14/12/18,14,57
169,14/12/18,15,84
170,14/12/18,16,90
171,14/12/18,17,74
172,14/12/18,18,68
173,14/12/18,19,49
174,14/12/18,20,47
175,14/12/18,21,3
176,15/12/18,6,10
177,15/12/18,7,36
178,15/12/18,8,64
179,15/12/18,9,113
180,15/12/18,10,156
181,15/12/18,11,87
182,15/12/18,12,65
183,15/12/18,13,50
184,15/12/18,14,57
185,15/12/18,15,74
186,15/12/18,16,99
187,15/12/18,17,104
188,15/12/18,18,67
189,15/12/18,19,41
190,15/12/18,20,29
191,15/12/18,21,5
192,30/12/18,6,12
193,30/12/18,7,24
194,30/12/18,8,33
195,30/12/18,9,23
196,30/12/18,10,39
197,30/12/18,11,42
198,30/12/18,12,31
199,30/12/18,13,39
200,30/12/18,14,39
201,30/12/18,15,56
202,30/12/18,16,76
203,30/12/18,17,78
204,30/12/18,18,74
205,30/12/18,19,57
206,30/12/18,20,39
207,30/12/18,21,20
208,31/12/18,6,9
209,31/12/18,7,29
210,31/12/18,8,30
211,31/12/18,9,39
212,31/12/18,10,64
213,31/12/18,11,43
214,31/12/18,12,33
215,31/12/18,13,29
216,31/12/18,14,33
217,31/12/18,15,48
218,31/12/18,16,108
219,31/12/18,17,71
220,31/12/18,18,88
221,31/12/18,19,57
222,31/12/18,20,43
223,31/12/18,21,20
